Taxon	Abundance	Fraction Abundance
Betaproteobacteria	9.607	0.0698
Bacteroidetes	6.191000000000001	0.0450
Alphaproteobacteria	30.831000000000003	0.2240
Actinobacteria	91.00999999999998	0.6612


Lineage	MatchName	Abundance	Fraction Abundance
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga	110279108_Cytophaga_hutchinsonii_ATCC_33406	2.92	0.0212
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium	151279845_Janthinobacterium_sp._Marseille	2.399	0.0174
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora	315407437_Micromonospora_sp._L5	2.521	0.0183
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Beutenbergiaceae;Beutenbergia	229564415_Beutenbergia_cavernae_DSM_12333	0.253	0.0018
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	357600378_Novosphingobium_pentaromativorans_US6-1	0.842	0.0061
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium	118168627_Mycobacterium_smegmatis_str._MC2_155	2.083	0.0151
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium	380774527_Microbacterium_laevaniformans_OR221	58.133	0.4224
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	148498119_Sphingomonas_wittichii_RW1	0.69	0.0050
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	334100279_Sphingobium_chlorophenolicum_L-1	0.574	0.0042
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus	325553278_Rhodococcus_equi_ATCC_33707	1.666	0.0121
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas	340550464_Collimonas_fungivorans_Ter331	7.208	0.0524
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Aeromicrobium	311311851_Aeromicrobium_marinum_DSM_15272	1.122	0.0082
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Kocuria	183579876_Kocuria_rhizophila_DC2201	0.5	0.0036
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides	119534933_Nocardioides_sp._JS614	1.953	0.0142
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	149229574_Pedobacter_sp._BAL39	3.271	0.0238
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	332012104_Sphingomonas_sp._S17	4.809	0.0349
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Cellulomonadaceae;Cellulomonas	336102715_[Cellvibrio]_gilvus_ATCC_13127	0.74	0.0054
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium/Ensifergroup;Sinorhizobium	365177649_Sinorhizobium_fredii_HH103	7.212	0.0524
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	345135066_Sphingobium_sp._SYK-6	1.276	0.0093
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium	323272819_Microbacterium_testaceum_StLB037	6.914999999999999	0.0502
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis	98975575_Sphingopyxis_alaskensis_RB2256	10.54	0.0766
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Cellulomonadaceae;Cellulomonas	332337569_Cellulomonas_fimi_ATCC_484	11.149000000000001	0.0810
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Jonesiaceae;Jonesia	256684786_Jonesia_denitrificans_DSM_20603	1.3889999999999998	0.0101
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Segniliparaceae;Segniliparus	296179587_Segniliparus_rotundus_DSM_44985	1.218	0.0088
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	84785911_Erythrobacter_litoralis_HTCC2594	4.888000000000001	0.0355
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Promicromonosporaceae;Xylanimonas	269303491_Xylanimonas_cellulosilytica_DSM_15894	1.368	0.0099
