	OTU_01	OTU_02	OTU_03	OTU_04	OTU_05	OTU_06	OTU_07	OTU_08	OTU_09	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17 
Permafrost_Russia13.3	22	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mangrove70.3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Permafrost_Canada45.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Illinois_soil91.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Iowa_prairie72.3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazilian_forest54.3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Illinois_soil88.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Iowa_agricultural00.3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3
Mangrove02.3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Iowa_prairie75.3	0	3	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Permafrost_Canada23.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Iowa_prairie76.3	0	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
