Sample	Biome	Site
Iowa_corn22.3	agricultural	Iowa_corn
Iowa_corn23.3	agricultural	Iowa_corn
Iowa_agricultural00.3	agricultural	Iowa_agricultural
Iowa_agricultural01.3	agricultural	Iowa_agricultural
Mangrove02.3	mangrove	Mangrove
Mangrove70.3	mangrove	Mangrove
Permafrost_Russia13.3	permafrost	Permafrost_Russia
Iowa_prairie72.3	non-agricultural	Iowa_prairie
Iowa_prairie75.3	non-agricultural	Iowa_prairie
Iowa_prairie76.3	non-agricultural	Iowa_prairie
Brazilian_forest95.3	non-agricultural	Brazilian_forest
Brazilian_forest39.3	non-agricultural	Brazilian_forest
Brazilian_forest54.3	non-agricultural	Brazilian_forest
Illinois_soybean42.3	agricultural	Illinois_soybean
Illinois_soybean40.3	agricultural	Illinois_soybean
Minnesota_creek46.3	non-agricultural	Minnesota_grassland
Minnesota_creek45.3	non-agricultural	Minnesota_grassland
Disney_preserve18.3	non-agricultural	Disney_preserve
Disney_preserve25.3	non-agricultural	Disney_preserve
California_grassland15.3	non-agricultural	California_grassland
California_grassland62.3	non-agricultural	California_grassland
Illinois_soil91.3	agricultural	Illinois_switchgrass
Illinois_soil88.3	agricultural	Illinois_switchgrass
Wyoming_soil22.3	non-agricultural	Wyoming_soil
Permafrost_Canada23.3	permafrost	Permafrost_Canada
Permafrost_Canada45.3	permafrost	Permafrost_Canada
cen01	non-agricultural	Centralia_recovered
cen03	non-agricultural	Centralia_recovered
cen04	non-agricultural	Centralia_recovered
cen05	non-agricultural	Centralia_recovered
cen06	non-agricultural	Centralia_active
cen07	non-agricultural	Centralia_recovered
cen10	non-agricultural	Centralia_active
cen12	non-agricultural	Centralia_active
cen13	non-agricultural	Centralia_active
cen14	non-agricultural	Centralia_active
cen15	non-agricultural	Centralia_active
cen16	non-agricultural	Centralia_active
cen17	non-agricultural	Centralia_reference
