Sample	Lat	Lon
Bertin	44.11722222	4.00194444
Plewniak	43.53250000	5.48472222
Cai	22.35000000	114.36666667
Luo	27.78333333	111.48333333
Hug	-38.00000000	176.00000000
Sangwan	32.02638889	77.34805556
Costa	-19.97972222	-43.82972222
Xiao	28.00000000	116.00000000
Rascovan	-26.85111111	-67.02944444
Anantharaman	39.69583333	-107.77222222
Xiaofang	-20.00000000	139.00000000
Kurth	-24.58000000	-68.24583333
Fullerton	18.92000000	-155.27000000
Das	27.95000000	94.26666667
Liu	22.72750000	114.22972222
Edwardson	38.01666667	-119.00944444
Edgcomb	35.30000000	21.39277778
