FIELD_COLORS,#ffe119,#3cb44b,#0082c8,#ffe119,#f58231,#ffe119,#911eb4,#d2f53c,#911eb4,#008080,#fabebe,#46f0f0,#aa6e28,#808000,#d2f53c,#3cb44b,#ffe119,#ffd8b1,#ffe119,#808080,#aaffc3,#aa6e28,#000080,#ffd8b1,#f58231,#f58231,#FFFFFF,#808080,#808000,#008080,#46f0f0,#000080,#808000,#e6194b,#fabebe,#f58231,#e6194b,#f58231,#808080
FIELD_LABELS,cen04,Iowa_agricultural01.3,Permafrost_Russia13.3,cen05,cen06,cen07,Mangrove70.3,Illinois_soil91.3,Mangrove02.3,Illinois_soybean40.3,Disney_preserve18.3,Permafrost_Canada23.3,California_grassland62.3,Brazilian_forest39.3,Illinois_soil88.3,Iowa_agricultural00.3,cen01,Iowa_corn22.3,cen03,Iowa_prairie76.3,cen17,California_grassland15.3,Minnesota_creek45.3,Iowa_corn23.3,cen15,cen16,Wyoming_soil22.3,Iowa_prairie72.3,Brazilian_forest54.3,Illinois_soybean42.3,Permafrost_Canada45.3,Minnesota_creek46.3,Brazilian_forest95.3,cen10,Disney_preserve25.3,cen14,cen13,cen12,Iowa_prairie75.3

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.015,0.03,0.06

LEGEND_TITLE,Sample
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS,#808000,#aa6e28,#f58231,#e6194b,#ffe119,#aaffc3,#fabebe,#d2f53c,#008080,#3cb44b,#ffd8b1,#808080,#911eb4,#000080,#46f0f0,#0082c8,#FFFFFF
LEGEND_LABELS,Brazilian forest,California grassland,Centralia active (<50C),Centralia active (>50C),Centralia recovered,Centralia reference,Disney preserve,Illinois soil,Illinois soybean,Iowa agricultural,Iowa corn,Iowa prairie,Mangrove,Minnesota creek,Permafrost Canada,Permafrost Russia,Wyoming soil

DATA
OTU_0022,0.00466744457409568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0023,0,0,0,0,0,0,0,0,0.0763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0024,0.00116686114352392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106157112526539,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0025,0.0198366394399067,0,0,0,0,0.00198216055500496,0,0,0,0,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0026,0.00233372228704784,0,0,0.0127576054955839,0.000871080139372822,0.00792864222001982,0,0,0,0,0,0,0,0,0,0,0,0,0.00335289186923722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334394904458599,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0,0,0,0,0,0,0.0114503816793893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236566407570125,0,0,0,0.000918273645546373,0
OTU_0030,0,0,0,0,0,0,0,0,0,0,0.0209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101385603244339,0,0.0100529100529101,0,0,0
OTU_0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623885918003565,0,0
OTU_0034,0,0,0,0.00196270853778214,0.000871080139372822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796178343949045,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0.00396432111000991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0036,0.00233372228704784,0,0,0,0,0.00198216055500496,0,0,0,0,0,0,0,0,0,0,0,0,0.00419111483654652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0037,0,0,0.00963855421686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106157112526539,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0039,0,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0040,0,0,0,0,0,0,0,0,0.0152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530785562632696,0,0,0,0,0,0,0,0,0,0,0,0.000918273645546373,0
OTU_0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519930675909879,0,0,0,0,0.00185774946921444,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892288081580625,0.00636942675159236,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0
OTU_0044,0,0,0,0,0,0,0,0,0.0152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132696390658174,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581210191082803,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0047,0.00700116686114352,0,0,0.00490677134445535,0,0,0,0,0,0,0.00836820083682008,0,0,0,0,0,0.00481231953801732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0,0
OTU_0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796178343949045,0,0,0,0,0,0,0,0.00168976005407232,0,0.00105820105820106,0,0,0
OTU_0049,0,0,0,0,0,0,0,0,0.00763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000265392781316348,0,0,0,0,0,0,0,0,0,0.00105820105820106,0,0,0
OTU_0051,0,0,0.0602409638554217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0052,0.00700116686114352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439337614058804,0,0,0,0,0
OTU_0054,0.0058343057176196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152078404866509,0,0,0,0,0
OTU_0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053475935828877,0,0
OTU_0057,0.00466744457409568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519930675909879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0059,0,0,0,0,0,0,0,0,0.00763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0060,0.00466744457409568,0,0,0.0117762512266928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0,0,0,0,0,0,0.00185774946921444,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0061,0,0,0.0144578313253012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0062,0.0455075845974329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212314225053079,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0064,0.00116686114352392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000962463907603465,0,0.00251466890192791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0065,0.0105017502917153,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0.00577478344562079,0,0.00419111483654652,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0066,0,0,0,0,0,0,0,0,0,0,0.00836820083682008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0
OTU_0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530785562632696,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0068,0,0,0,0,0,0,0,0,0.0229007633587786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0069,0,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0070,0,0,0,0,0,0,0,0,0.0458015267175573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0071,0,0,0.0216867469879518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0072,0,0,0,0,0.00261324041811847,0.00396432111000991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127469725940089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0073,0,0,0,0,0.0165505226480836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331421287444232,0.00132696390658174,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0074,0,0,0,0,0.00261324041811847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318674314850223,0.00185774946921444,0,0,0,0,0,0,0,0,0,0,0,0.00229568411386593,0
OTU_0075,0.00466744457409568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132696390658174,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0077,0,0,0,0,0,0,0,0,0.0152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0078,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284995808885163,0,0,0,0,0,0.0140216698534098,0,0,0,0,0,0,0,0,0.00506928016221697,0,0,0,0.0307621671258035,0
OTU_0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371549893842887,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0080,0,0,0,0,0.00609756097560976,0.00396432111000991,0,0,0,0,0,0,0,0,0,0,0,0,0.00502933780385583,0,0,0,0,0,0.0165710643722116,0.00743099787685775,0,0,0,0,0,0,0,0,0,0.00687830687830688,0,0.0068870523415978,0
OTU_0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124734607218684,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609756097560976,0,0,0,0,0,0,0,0
OTU_0083,0.00466744457409568,0,0,0.0107948969578018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0084,0.029171528588098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00866217516843118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0085,0,0,0,0,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0.000796178343949045,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0
OTU_0086,0.015169194865811,0,0,0.00294406280667321,0.00174216027874564,0.00991080277502478,0,0,0,0,0,0,0,0,0,0,0,0,0.00670578373847443,0,0,0,0,0,0,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280898876404494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270361608651571,0,0,0,0,0
OTU_0089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0,0,0,0,0,0,0,0,0.0665765461304495,0,0.0037037037037037,0,0.0206611570247934,0
OTU_0090,0,0,0,0,0.00174216027874564,0,0,0,0,0,0,0,0,0,0,0,0.00481231953801732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384985563041386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0092,0.00466744457409568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0,0,0,0,0,0,0.00345010615711253,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0093,0.00350058343057176,0,0,0.00196270853778214,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0.00185774946921444,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0
OTU_0095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384985563041386,0,0.00419111483654652,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011472275334608,0.00212314225053079,0,0,0,0,0,0,0,0.00270361608651571,0,0.0111111111111111,0,0.00229568411386593,0
OTU_0097,0,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240615976900866,0,0,0,0.00346620450606586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0099,0,0,0,0,0,0,0,0,0,0,0,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804878048780488,0,0,0,0,0,0,0,0
OTU_0100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0.000530785562632696,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0
OTU_0101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00866551126516464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105820105820106,0,0,0
OTU_0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00540723217303143,0,0,0,0,0
OTU_0103,0,0,0,0,0.0200348432055749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229445506692161,0.00238853503184713,0,0,0,0,0,0,0,0,0,0,0,0.163911845730028,0
OTU_0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127469725940089,0,0,0,0,0,0,0,0,0.000337952010814464,0,0,0,0.00413223140495868,0
OTU_0105,0,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0.000962463907603465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00902335456475584,0,0,0,0,0,0,0,0,0,0.00582010582010582,0,0,0
OTU_0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0108,0,0,0,0,0,0,0,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0109,0,0,0,0.0098135426889107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586756077116513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0110,0,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0111,0,0,0,0.00098135426889107,0.00348432055749129,0.0247770069375619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0112,0,0,0,0,0,0,0,0,0,0,0,0.00234192037470726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926829268292683,0,0,0,0,0,0,0,0
OTU_0113,0.0210035005834306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0114,0.0058343057176196,0,0,0,0,0.0109018830525273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0115,0,0,0,0,0,0,0,0,0,0,0,0.00702576112412178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975609756097561,0,0,0,0,0,0,0,0
OTU_0116,0,0,0.0192771084337349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0117,0,0,0.0265060240963855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0118,0.00700116686114352,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135180804325786,0,0,0,0,0
OTU_0120,0,0,0,0,0,0,0,0,0.00763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
