Sample	Biome	Site
Iowa_corn22	agricultural	Iowa_corn
Iowa_corn23	agricultural	Iowa_corn
Iowa_agricultural00	agricultural	Iowa_agricultural
Iowa_agricultural01	agricultural	Iowa_agricultural
Mangrove02	mangrove	Mangrove
Mangrove70	mangrove	Mangrove
Permafrost_Russia12	permafrost	Permafrost_Russia
Permafrost_Russia13	permafrost	Permafrost_Russia
Iowa_prairie72	grassland	Iowa_prairie
Iowa_prairie75	grassland	Iowa_prairie
Iowa_prairie76	grassland	Iowa_prairie
Brazilian_forest95	forest	Brazilian_forest
Brazilian_forest39	forest	Brazilian_forest
Brazilian_forest54	forest	Brazilian_forest
Illinois_soybean42	agricultural	Illinois_soybean
Illinois_soybean40	agricultural	Illinois_soybean
Minnesota_creek46	grassland	Minnesota_creek
Minnesota_creek45	grassland	Minnesota_creek
Disney_preserve18	forest	Disney_preserve
Disney_preserve25	forest	Disney_preserve
California_grassland15	grassland	California_grassland
California_grassland62	grassland	California_grassland
Illinois_soil91	grassland	Illinois_soil
Illinois_soil88	grassland	Illinois_soil
Wyoming_soil20	grassland	Wyoming_soil
Wyoming_soil22	grassland	Wyoming_soil
Permafrost_Canada23	permafrost	Permafrost_Canada
Permafrost_Canada45	permafrost	Permafrost_Canada
