Sample	Gbases	AGS	GE
Iowa_corn22	8.19	5248659	1560
Iowa_corn23	8.12	5208064	1558
Iowa_agricultural00	24.98	6203490	4026
Iowa_agricultural01	7.86	6023548	1304
Mangrove02	24.38	5979725	4076
Mangrove70	24.54	6005221	4086
Permafrost_Russia12	20.05	5135678	3903
Permafrost_Russia13	19.20	5131959	3741
Iowa_prairie75	18.79	6994965	2686
Iowa_prairie72	17.58	7169200	2452
Iowa_prairie76	17.43	7088957	3458
Brazilian_forest95	13.27	5787131	2293
Brazilian_forest39	9.04	8789768	1028
Brazilian_forest54	9.69	8371924	1157
Illinois_soybean42	12.54	6541610	19.16
Illinois_soybean40	10.60	5850740	1811
Minnesota_creek46	10.65	6504862	1637
Minnesota_creek45	9.77	6057590	1612
Disney_preserve18	11.20	6888257	1625
Disney_preserve25	4.14	7230169	1612
California_grassland15	6.50	7414208	877
California_grassland62	5.77	12981156	444
Illinois_soil91	7.95	7441858	1068
Illinois_soil88	7.14	6954025	1027
Wyoming_soil22	.82	5354164	153
Wyoming_soil20	6.41	5350858	1197
Permafrost_Canada23	6.52	3932079	1657
Permafrost_Canada45	5.52	4719216	1170
