Taxon	Abundance	Fraction Abundance
Acidobacteria	2.967	0.0496
Verrucomicrobia	3.191	0.0533
Betaproteobacteria	5.736	0.0958
Bacteroidetes	3.2	0.0534
Actinobacteria	22.784999999999997	0.3805
Gemmatimonadetes	3.679	0.0614
Gammaproteobacteria	18.316000000000003	0.3059


Lineage	MatchName	Abundance	Fraction Abundance
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces	364010184_Streptomyces_sp._W007	1.873	0.0313
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella	361057412_Niastella_koreensis_GR20-10	3.2	0.0534
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Geodermatophilaceae;Blastococcus	378781357_Blastococcus_saxobsidens_DD2	3.683	0.0615
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces	329302553_Streptomyces_griseoaurantiacus_M045	1.617	0.0270
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacter	196227372_Chthoniobacter_flavus_Ellin428	3.191	0.0533
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas	317464132_Pseudoxanthomonas_suwonensis_11-1	5.693	0.0951
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rhodanobacter	388444046_Rhodanobacter_thiooxydans_LCS2	1.846	0.0308
Bacteria;Proteobacteria;Betaproteobacteria;environmentalsamples	374852458_uncultured_beta_proteobacterium	2.856	0.0477
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Intrasporangium	315587265_Intrasporangium_calvum_DSM_43043	4.56	0.0762
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;CandidatusSolibacter	116222307_Candidatus_Solibacter_usitatus_Ellin6076	2.967	0.0496
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Dermatophilaceae;Mobilicoccus	377536257_Mobilicoccus_pelagius_NBRC_104925	1.409	0.0235
Bacteria;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	226088597_Gemmatimonas_aurantiaca_T-27	3.679	0.0614
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	167731156_Xanthomonas_campestris_pv._campestris	2.475	0.0413
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	324102818_Pseudomonas_sp._TJI-51	4.343	0.0725
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans	291582584_Sideroxydans_lithotrophicus_ES-1	2.88	0.0481
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	283472039_Xanthomonas_albilineans_GPE_PC73	2.001	0.0334
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Cellulomonadaceae;Cellulomonas	332337569_Cellulomonas_fimi_ATCC_484	8.065000000000001	0.1347
Bacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Promicromonosporaceae;Xylanimonas	269303491_Xylanimonas_cellulosilytica_DSM_15894	1.578	0.0264
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Rhodanobacter	388435568_Rhodanobacter_spathiphylli_B39	1.958	0.0327
