Phylum,acr3_chromosome,acr3_plasmid,aioA_chromosome,aioA_plasmid,arrA_chromosome,arrA_plasmid,arsB_chromosome,arsB_plasmid,arsC_glut_chromosome,arsC_glut_plasmid,arsC_thio_chromosome,arsC_thio_plasmid,arsD_chromosome,arsD_plasmid,arsM_chromosome,arsM_plasmid,arxA_chromosome,arxA_plasmid,None_chromosome,None_plasmid
Acidobacteria (7),100,0,0,0,0,0,57.1428571428571,0,0,0,14.2857142857143,0,0,0,14.2857142857143,0,0,0,0,0
Actinobacteria (118),61.864406779661,4.23728813559322,0,0,0,0,44.0677966101695,0,33.0508474576271,0,5.93220338983051,0.847457627118644,1.69491525423729,0.847457627118644,1.69491525423729,0.847457627118644,0,0,16.1016949152542,5.08474576271187
Aquificae (3),0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0
Armatimonadetes (2),50,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0
Bacteroidetes (19),73.6842105263158,5.26315789473684,0,0,0,0,0,0,31.5789473684211,0,36.8421052631579,0,0,0,21.0526315789474,0,0,0,10.5263157894737,0
Chlamydiae (3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66.6666666666667
Chlorobi (3),66.6666666666667,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Chloroflexi (9),88.8888888888889,0,0,0,0,0,88.8888888888889,0,0,0,0,0,11.1111111111111,0,100,0,0,0,0,0
Cyanobacteria (26),76.9230769230769,0,0,0,0,0,3.84615384615385,0,11.5384615384615,0,34.6153846153846,3.84615384615385,3.84615384615385,0,3.84615384615385,0,0,0,19.2307692307692,11.5384615384615
Deferribacteres (1),100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus (6),0,0,0,0,0,0,50,16.6666666666667,0,0,16.6666666666667,16.6666666666667,0,0,0,0,0,0,33.3333333333333,33.3333333333333
Firmicutes (207),44.4444444444444,3.38164251207729,0,0,1.44927536231884,0,65.7004830917874,0,0.966183574879227,0,45.8937198067633,1.93236714975845,11.1111111111111,0.966183574879227,5.79710144927536,0,0,0,13.5265700483092,5.79710144927536
Fusobacteria (1),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonadetes (1),100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Nitrospirae (3),0,0,0,0,0,0,100,0,0,0,66.6666666666667,0,66.6666666666667,0,33.3333333333333,0,0,0,0,0
Planctomycetes (1),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria (531),40.6779661016949,4.14312617702448,2.44821092278719,0.376647834274953,0.941619585687382,0,33.1450094161959,2.07156308851224,79.4726930320151,5.64971751412429,3.95480225988701,0,7.72128060263653,0.753295668549906,1.88323917137476,0,0.188323917137476,0,8.66290018832392,3.38983050847458
Spirochaetes (12),25,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,75,8.33333333333333
Synergistetes (1),100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
Tenericutes (2),0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0
Terrabacteria_group (1),0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0
Thermotogae (3),0,0,0,0,0,0,33.3333333333333,0,0,0,33.3333333333333,0,0,0,0,0,0,0,66.6666666666667,0
Verrucomicrobia (2),100,0,0,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0
