"OTU ID in (Rideout et al., 2014)",Phylum,RefSoil ID,Andisols,Gelisols,Vertisols,Mollisols,Inceptisols,Alfisols,Ultisols,"Sand,Rock,Ice",Entisols
4301491,Firmicutes,"RefSoil_63,RefSoil_767,RefSoil_777",0,0,34,6,0,51,0,0,0
3423513,Proteobacteria,"RefSoil_64,RefSoil_88,RefSoil_93,RefSoil_103,RefSoil_138,RefSoil_146,RefSoil_166,RefSoil_168,RefSoil_170,RefSoil_237,RefSoil_243,RefSoil_327,RefSoil_438,RefSoil_641,RefSoil_666,RefSoil_669,RefSoil_847,RefSoil_904",3,2,2,0,55,8,749,8,40
63696,Actinobacteria,RefSoil_699,87,0,858,97,0,0,3,0,71
568436,Firmicutes,"RefSoil_494,RefSoil_562,RefSoil_631",0,0,47,2,0,0,0,0,0
919466,Firmicutes,RefSoil_901,0,0,77,4,0,151,0,0,0
2675752,Proteobacteria,"RefSoil_548,RefSoil_645",0,0,679,30,0,5,0,0,0
328765,Actinobacteria,RefSoil_559,0,0,5,3,0,7,0,0,0
136453,Actinobacteria,"RefSoil_133,RefSoil_800",0,0,12,65,0,0,0,0,0
750320,Proteobacteria,RefSoil_784,0,0,4748,40,0,17,0,0,0
28089,Actinobacteria,RefSoil_637,0,0,9232,281,0,11,0,0,0
956334,Actinobacteria,RefSoil_401,0,0,16,0,0,0,0,0,0
New.7.CleanUp.ReferenceOTU36342,Planctomycetes,RefSoil_720,99,0,9,557,2,34,59,1,23
New.7.CleanUp.ReferenceOTU66593,Actinobacteria,RefSoil_362,0,0,2,2,0,0,0,0,0
New.7.CleanUp.ReferenceOTU119570,Proteobacteria,RefSoil_218,80,0,276,6,0,0,0,0,2
New.7.CleanUp.ReferenceOTU153570,Proteobacteria,RefSoil_603,0,0,13,0,0,3,0,0,0
New.7.CleanUp.ReferenceOTU173727,Proteobacteria,RefSoil_201,0,0,3,0,2,0,0,0,0
New.7.CleanUp.ReferenceOTU185892,Proteobacteria,"RefSoil_331,RefSoil_801",10,7,3,50,11,216,0,12,2
New.7.CleanUp.ReferenceOTU187058,Actinobacteria,RefSoil_855,42,0,3,15,3,3,1,0,3
New.7.CleanUp.ReferenceOTU246283,Proteobacteria,"RefSoil_136,RefSoil_841",14,51,2,146,46,88,8,2,77
New.7.CleanUp.ReferenceOTU252558,Proteobacteria,RefSoil_442,0,3,6,15,2,0,0,1,0
New.7.CleanUp.ReferenceOTU256861,Bacteroidetes,RefSoil_635,0,0,2,0,0,0,0,0,0
4429716,Proteobacteria,"RefSoil_516,RefSoil_754",0,0,0,0,0,44,0,0,0
4364469,Proteobacteria,RefSoil_357,0,0,0,0,0,0,0,0,0
4424239,Firmicutes,"RefSoil_307,RefSoil_470",0,0,0,0,0,0,1,0,2
4384856,Firmicutes,RefSoil_433,0,0,0,0,0,14,0,0,0
4448928,Firmicutes,"RefSoil_26,RefSoil_132",0,0,0,0,0,35,0,0,0
159973,Bacteroidetes,RefSoil_850,0,0,0,2,0,0,0,0,0
4328482,Deinococcus-Thermus,RefSoil_318,0,0,0,0,0,0,0,0,7
821119,Proteobacteria,"RefSoil_123,RefSoil_176,RefSoil_614,RefSoil_723",0,0,0,8,0,9,0,0,0
3244896,Firmicutes,RefSoil_550,0,0,0,0,0,0,0,0,0
903886,Bacteroidetes,RefSoil_502,0,0,0,0,0,0,0,0,0
287813,Firmicutes,RefSoil_921,4,0,0,0,0,0,20,0,34
4404109,Firmicutes,RefSoil_475,0,2,0,0,0,2,0,0,0
2850749,Firmicutes,RefSoil_469,0,0,0,0,0,0,0,0,0
849440,Euryarchaeota,RefSoil_191,0,0,0,0,0,0,0,0,0
1148151,Proteobacteria,"RefSoil_690,RefSoil_808",0,0,0,0,0,0,14,0,1
316732,Firmicutes,RefSoil_330,0,0,0,0,0,0,1,0,1
3110915,Deinococcus-Thermus,RefSoil_450,0,0,0,0,0,0,0,0,2
4302300,Firmicutes,RefSoil_651,0,0,0,45,0,48,0,0,0
13024,Actinobacteria,RefSoil_350,0,0,0,0,0,47,0,0,0
2772794,Firmicutes,RefSoil_444,0,0,0,0,0,0,0,0,0
823809,Proteobacteria,"RefSoil_76,RefSoil_101,RefSoil_188,RefSoil_199,RefSoil_217,RefSoil_221,RefSoil_347,RefSoil_505,RefSoil_594,RefSoil_858,RefSoil_896,RefSoil_898,RefSoil_900,RefSoil_902",0,0,0,72,0,9,0,0,0
4431608,Firmicutes,RefSoil_141,0,0,0,0,0,0,0,0,0
111129,Aquificae,RefSoil_311,0,0,0,0,0,12,0,0,0
14592,Firmicutes,"RefSoil_485,RefSoil_514",0,0,0,7,0,340,0,0,0
993455,Cyanobacteria/Chloroplast,RefSoil_706,0,0,0,0,0,0,0,0,0
New.9.CleanUp.ReferenceOTU43792,Firmicutes,RefSoil_924,0,2,0,0,0,0,1,0,0
New.9.CleanUp.ReferenceOTU125896,Proteobacteria,"RefSoil_355,RefSoil_578,RefSoil_579,RefSoil_580,RefSoil_581,RefSoil_582,RefSoil_583,RefSoil_584,RefSoil_795",3,73,0,7,17,2,0,6,0
New.9.CleanUp.ReferenceOTU132755,Firmicutes,RefSoil_688,0,0,0,0,0,2,0,0,0
New.9.CleanUp.ReferenceOTU182843,Firmicutes,RefSoil_147,0,0,0,0,0,0,0,0,0
New.11.CleanUp.ReferenceOTU76228,Bacteroidetes,RefSoil_461,0,0,0,0,0,0,0,0,0
820543,Bacteroidetes,RefSoil_854,0,0,0,0,0,0,0,0,0
3201462,Deferribacteres,RefSoil_381,0,0,0,0,0,0,0,0,0
2188623,Cyanobacteria/Chloroplast,RefSoil_715,0,0,0,0,0,0,0,0,0
4460895,Cyanobacteria/Chloroplast,RefSoil_716,0,0,0,0,0,3,0,0,0
4308446,Proteobacteria,RefSoil_336,0,0,0,0,0,0,0,0,0
4372695,Cyanobacteria/Chloroplast,RefSoil_713,0,0,0,0,0,0,0,0,0
616997,Euryarchaeota,RefSoil_384,0,0,0,0,0,6,0,0,0
New.12.CleanUp.ReferenceOTU144840,Spirochaetes,RefSoil_413,0,0,0,0,0,0,0,0,0
New.12.CleanUp.ReferenceOTU146129,Spirochaetes,RefSoil_479,0,0,0,0,0,0,0,0,0
2940299,Euryarchaeota,"RefSoil_387,RefSoil_694",0,0,0,0,0,4,0,0,0
511129,Firmicutes,"RefSoil_202,RefSoil_239,RefSoil_240,RefSoil_320,RefSoil_322,RefSoil_599",0,0,0,0,0,0,0,0,0
New.13.CleanUp.ReferenceOTU30545,Proteobacteria,RefSoil_16,0,0,0,21,3,0,0,0,0
New.13.CleanUp.ReferenceOTU513670,Proteobacteria,RefSoil_91,0,0,0,0,0,0,0,0,0
New.13.CleanUp.ReferenceOTU516929,Fusobacteria,RefSoil_430,0,0,0,0,0,45,0,0,0
4360991,Firmicutes,"RefSoil_203,RefSoil_294",0,0,0,0,0,19,0,0,0
592398,Actinobacteria,"RefSoil_510,RefSoil_527,RefSoil_761,RefSoil_825,RefSoil_887",0,0,0,13,0,417,0,0,0
557526,Firmicutes,"RefSoil_389,RefSoil_392",0,0,0,18,0,5,0,0,0
2221290,Proteobacteria,"RefSoil_115,RefSoil_439",0,0,0,0,0,37,0,0,0
New.19.CleanUp.ReferenceOTU3126,Firmicutes,RefSoil_171,0,0,0,6,0,2,0,0,0
New.19.CleanUp.ReferenceOTU3972,Proteobacteria,RefSoil_659,0,0,0,0,0,3,0,0,0
New.19.CleanUp.ReferenceOTU8278,Actinobacteria,RefSoil_83,0,0,0,0,0,6,0,0,0
New.19.CleanUp.ReferenceOTU8353,Firmicutes,RefSoil_721,0,0,0,0,0,11,0,0,0
New.19.CleanUp.ReferenceOTU14939,Proteobacteria,RefSoil_756,0,0,0,6,0,3,0,0,0
New.19.CleanUp.ReferenceOTU16224,Firmicutes,RefSoil_61,0,2,0,0,0,2,0,0,0
New.19.CleanUp.ReferenceOTU21714,Proteobacteria,RefSoil_46,0,0,0,0,0,5,0,0,0
New.19.CleanUp.ReferenceOTU26467,Firmicutes,RefSoil_798,0,0,0,2,0,2,0,0,0
New.19.CleanUp.ReferenceOTU36857,Proteobacteria,RefSoil_267,0,0,0,0,0,2,0,0,0
New.19.CleanUp.ReferenceOTU38993,Actinobacteria,RefSoil_359,0,0,0,0,0,3,0,0,0
541328,Firmicutes,"RefSoil_194,RefSoil_736,RefSoil_805",0,0,0,0,0,0,0,0,0
13900,Firmicutes,RefSoil_648,0,0,0,0,0,0,0,0,0
159911,Firmicutes,RefSoil_214,0,0,0,0,0,0,0,0,0
950606,Proteobacteria,"RefSoil_531,RefSoil_914",0,0,0,15,0,0,0,0,0
161579,Firmicutes,"RefSoil_113,RefSoil_292,RefSoil_722",0,0,0,0,0,0,14,0,23
New.24.CleanUp.ReferenceOTU12645,Proteobacteria,RefSoil_768,9,0,0,77,0,0,0,0,2
New.24.CleanUp.ReferenceOTU38683,Proteobacteria,"RefSoil_482,RefSoil_604,RefSoil_687,RefSoil_719,RefSoil_750",24,31,0,0,0,2,0,0,9
546802,Deinococcus-Thermus,RefSoil_460,0,0,0,0,0,0,0,0,0
4413357,Cyanobacteria/Chloroplast,RefSoil_709,0,0,0,0,0,0,0,0,0
968391,Cyanobacteria/Chloroplast,RefSoil_702,12,0,0,506,0,0,0,0,0
2234838,Firmicutes,RefSoil_41,0,0,0,0,0,0,0,0,0
257496,Proteobacteria,RefSoil_212,0,0,0,0,0,8,0,0,0
289599,Firmicutes,RefSoil_445,0,0,0,0,0,0,2,0,3
3696,Acidobacteria,RefSoil_515,0,0,0,0,0,0,0,0,0
519568,Cyanobacteria/Chloroplast,RefSoil_296,0,0,0,0,0,0,0,0,0
1132905,Thaumarchaeota,"RefSoil_321,RefSoil_328,RefSoil_596,RefSoil_597,RefSoil_763",0,0,0,0,0,0,0,0,0
New.28.CleanUp.ReferenceOTU355847,Firmicutes,RefSoil_107,0,0,0,0,0,0,0,0,0
New.28.CleanUp.ReferenceOTU551117,Cyanobacteria/Chloroplast,RefSoil_712,0,0,0,0,0,0,0,0,0
254640,Euryarchaeota,RefSoil_569,24,0,0,0,0,729,0,0,0
4380668,Firmicutes,RefSoil_411,0,0,0,0,0,3,0,0,0
141021,Chlorobi,RefSoil_95,0,0,0,0,0,65,0,0,0
New.33.CleanUp.ReferenceOTU25588,Cyanobacteria/Chloroplast,RefSoil_285,0,0,0,0,0,2,0,0,0
New.36.CleanUp.ReferenceOTU478948,Proteobacteria,RefSoil_373,0,0,0,0,0,0,0,0,0
New.36.CleanUp.ReferenceOTU938882,Euryarchaeota,RefSoil_489,0,0,0,0,0,0,0,0,0
