DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL, abundance

#define colors for each individual field column (use hexadecimal, RGB or RGBA notation; if using RGB/RGBA, COMMA cannot be used as SEPARATOR)
FIELD_COLORS,#6082B6,#800080,#800080,#FFFF00,#FFFF00,#FF7F00
FIELD_LABELS,Permafrost_Russia13.3,Mangrove70.3,Mangrove02.3,Cen13,Cen16,Cen05

#dataset scale: you can simply set the values where the scale will be drawn
DATASET_SCALE,0.00,0.015,0.03

LEGEND_TITLE,Sample
LEGEND_SHAPES,1,1,1,1,1,1,
LEGEND_COLORS,#6082B6,#800080,#800080,#FFFF00,#FFFF00,#FF7F00
LEGEND_LABELS,Permafrost_Russia13.3,Mangrove70.3,Mangrove02.3,Cen13,Cen16,Cen05


DATA
#,Permafrost_Russia13.3,Mangrove70.3,Mangrove02.3,Cen13,Cen16,Cen05
aioA_0001,0,0,0,0,0.00212314225053079,0.00196270853778214
aioA_0007,0,0,0,0,0,0.0098135426889107
aioA_0008,0,0,0,0,0,0.00392541707556428
aioA_0009,0.0481927710843374,0,0,0,0,0
aioA_0011,0,0,0,0,0.000265392781316348,0
aioA_0012,0,0,0,0,0.00185774946921444,0.00098135426889107
aioA_0015,0,0,0,0,0,0.00196270853778214
aioA_0016,0.0216867469879518,0,0,0,0,0
aioA_0017,0,0,0,0,0,0.00294406280667321
aioA_0018,0,0,0,0,0,0.00196270853778214
aioA_0019,0,0,0,0,0,0.00490677134445535
aioA_0020,0,0,0,0.00980392156862745,0,0
aioA_0021,0,0,0,0,0.00796178343949045,0
aioA_0022,0,0,0,0,0,0.00196270853778214
aioA_0023,0,0,0,0.00623885918003565,0,0
aioA_0024,0,0,0,0,0,0.00392541707556428
aioA_0026,0,0,0,0,0,0.00098135426889107
aioA_0029,0,0,0,0,0,0.00196270853778214
aioA_0031,0,0,0,0,0,0.00098135426889107
aioA_0033,0,0,0,0,0,0.00490677134445535
aioA_0034,0,0,0,0.00757575757575758,0,0
aioA_0039,0,0,0.00381679389312977,0,0,0
aioA_0041,0,0,0,0.00623885918003565,0,0
aioA_0043,0,0,0,0,0,0.00294406280667321
aioA_0044,0,0,0,0.00089126559714795,0,0
aioA_0045,0,0,0,0.00846702317290553,0,0
