DATASET_COLORSTRIP
SEPARATOR COMMA

DATASET_LABEL,phylum
COLOR,#ff0000

COLOR_BRANCHES,1

LEGEND_TITLE,Phylum
LEGEND_SHAPES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEGEND_COLORS,#FDB462,#F4CAE4,#DECBE4,#6A3D9A,#666666,#B15928,#1F78B4,#999999,#E78AC3,#B3CDE3,#CCCCCC,#E31A1C,#FB9A99,#E6AB02,#66A61E,#B3DE69,#A6CEE3,#1B9E77,#7FC97F,#F0027F,#FF7F00,#CCEBC5,#A65628,#FFFFCC,#666666
LEGEND_LABELS,Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Bacteroidetes,Chlamydiae,Chlorobi,Chloroflexi,Crenarchaeota,Cyanobacteria,Deferribacteres,Deinococcus-Thermus,Euryarchaeota,Firmicutes,Fusobacteria,Gemmatimonadetes,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Terrabacteria_group,Thermotogae,Verrucomicrobia

DATA
NCBI.ID.x,Color,Phylum
NC_000913,#7FC97F,Proteobacteria
NC_000913,#7FC97F,Proteobacteria
NC_000913,#7FC97F,Proteobacteria
NC_000963,#7FC97F,Proteobacteria
NC_000964,#E6AB02,Firmicutes
NC_000964,#E6AB02,Firmicutes
NC_000964,#E6AB02,Firmicutes
NC_000964,#E6AB02,Firmicutes
NC_001263,#E31A1C,Deinococcus-Thermus
NC_001263,#E31A1C,Deinococcus-Thermus
NC_001263,#E31A1C,Deinococcus-Thermus
NC_001263,#E31A1C,Deinococcus-Thermus
NC_002488,#7FC97F,Proteobacteria
NC_002488,#7FC97F,Proteobacteria
NC_002488,#7FC97F,Proteobacteria
NC_002516,#7FC97F,Proteobacteria
NC_002516,#7FC97F,Proteobacteria
NC_002570,#E6AB02,Firmicutes
NC_002570,#E6AB02,Firmicutes
NC_002578,#FB9A99,Euryarchaeota
NC_002678,#7FC97F,Proteobacteria
NC_002678,#7FC97F,Proteobacteria
NC_002678,#7FC97F,Proteobacteria
NC_002689,#FB9A99,Euryarchaeota
NC_002927,#7FC97F,Proteobacteria
NC_002927,#7FC97F,Proteobacteria
NC_002927,#7FC97F,Proteobacteria
NC_002936,#999999,Chloroflexi
NC_002936,#999999,Chloroflexi
NC_002937,#7FC97F,Proteobacteria
NC_002937,#7FC97F,Proteobacteria
NC_002939,#7FC97F,Proteobacteria
NC_002939,#7FC97F,Proteobacteria
