t.name,label,Color
DET_RS07270,label,#999999
TX73_RS18190,label,#7FC97F
STH_RS11815,label,#E6AB02
CBDB_RS05750,label,#999999
TBD_RS07130,label,#7FC97F
GMET_RS13985,label,#7FC97F
RPB_RS09900,label,#7FC97F
DSY_RS22020,label,#E6AB02
RPD_RS17210,label,#7FC97F
CHU_RS07375,label,black
ACID_RS22500,label,#FDB462
NOCA_RS20410,label,#F4CAE4
DEHABAV1_RS06400,label,#999999
DOLE_RS03925,label,#7FC97F
OTER_RS08050,label,#666666
MINF_RS00625,label,#666666
RPAL_RS20190,label,#7FC97F
DHAF_RS06030,label,#E6AB02
GAU_RS06475,label,#B3DE69
GAU_RS03580,label,#B3DE69
CPIN_RS30230,label,black
DHCVS_RS05850,label,#999999
HTUR_RS15045,label,#FB9A99
DEHALGT_RS05765,label,#999999
DEHLY_RS07110,label,#999999
MPET_RS14200,label,#FB9A99
HALSA_RS03295,label,#E6AB02
RPDX1_RS08790,label,#7FC97F
DESPR_RS06190,label,#7FC97F
METBO_RS09180,label,#FB9A99
DESCA_RS05330,label,#E6AB02
MLP_RS18165,label,#F4CAE4
LFE_RS07035,label,#A6CEE3
PPM_RS16135,label,#E6AB02
SOLCA_RS17805,label,black
DESMER_RS11025,label,#E6AB02
CHRO_RS13990,label,#B3CDE3
DCMB_RS06325,label,#999999
BTF_RS06375,label,#999999
B1NLA3E_RS09205,label,#E6AB02
CLOPA_RS02945,label,#E6AB02
DESGI_RS19715,label,#E6AB02
SCE1572_RS04690,label,#7FC97F
GY50_RS06045,label,#999999
PSAB_RS12460,label,#E6AB02
BRDCF_RS09135,label,black
OP10G_RS14390,label,#6A3D9A
UFO1_RS19480,label,#E6AB02
WP_041339041.1_39,label,#F4CAE4
