Sample	Biome	Site
Iowa_corn22.3	agricultural	Iowa_corn
Iowa_corn23.3	agricultural	Iowa_corn
Iowa_agricultural00.3	agricultural	Iowa_agricultural
Iowa_agricultural01.3	agricultural	Iowa_agricultural
Mangrove02.3	mangrove	Mangrove
Mangrove70.3	mangrove	Mangrove
Permafrost_Russia13.3	permafrost	Permafrost_Russia
Iowa_prairie72.3	grassland	Iowa_prairie
Iowa_prairie75.3	grassland	Iowa_prairie
Iowa_prairie76.3	grassland	Iowa_prairie
Brazilian_forest95.3	forest	Brazilian_forest
Brazilian_forest39.3	forest	Brazilian_forest
Brazilian_forest54.3	forest	Brazilian_forest
Illinois_soybean42.3	agricultural	Illinois_soybean
Illinois_soybean40.3	agricultural	Illinois_soybean
Minnesota_creek46.3	grassland	Minnesota_creek
Minnesota_creek45.3	grassland	Minnesota_creek
Disney_preserve18.3	forest	Disney_preserve
Disney_preserve25.3	forest	Disney_preserve
California_grassland15.3	grassland	California_grassland
California_grassland62.3	grassland	California_grassland
Illinois_soil91.3	grassland	Illinois_soil
Illinois_soil88.3	grassland	Illinois_soil
Wyoming_soil22.3	grassland	Wyoming_soil
Permafrost_Canada23.3	permafrost	Permafrost_Canada
Permafrost_Canada45.3	permafrost	Permafrost_Canada
cen01	coalminefire	Centralia_recovered
cen03	coalminefire	Centralia_recovered
cen04	coalminefire	Centralia_recovered
cen05	coalminefire	Centralia_recovered
cen06	coalminefire	Centralia_active
cen07	coalminefire	Centralia_recovered
cen10	coalminefire	Centralia_active
cen12	coalminefire	Centralia_active
cen13	coalminefire	Centralia_active
cen14	coalminefire	Centralia_active
cen15	coalminefire	Centralia_active
cen16	coalminefire	Centralia_active
cen17	coalminefire	Centralia_reference
