#,cen04,Iowa_agricultural01.3,Permafrost_Russia13.3,cen05,cen06,cen07,Mangrove70.3,Illinois_soil91.3,Mangrove02.3,Illinois_soybean40.3,Disney_preserve18.3,Permafrost_Canada23.3,California_grassland62.3,Brazilian_forest39.3,Iowa_agricultural00.3,cen01,Iowa_corn22.3,cen03,Iowa_prairie76.3,cen17,California_grassland15.3,Minnesota_creek45.3,Iowa_corn23.3,cen15,cen16,Wyoming_soil22.3,Iowa_prairie72.3,Brazilian_forest54.3,Illinois_soybean42.3,Permafrost_Canada45.3,Minnesota_creek46.3,Brazilian_forest95.3,cen10,Disney_preserve25.3,cen14,cen13,cen12,Iowa_prairie75.3
OTU_0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382409177820268,0,0,0,0,0,0,0,0,0.00337952010814464,0,0.00264550264550265,0,0,0
OTU_0011,0,0,0,0,0,0,0,0,0,0,0.0251046025104603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0012,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0013,0,0,0,0,0,0,0,0,0,0,0.0125523012552301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082089552238806,0,0,0,0,0,0,0,0.0935251798561151,0,0,0,0,0,0,0,0,0,0,0.0616438356164384
OTU_0015,0,0,0,0,0,0,0.0145348837209302,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158837445082798,0,0,0,0,0
OTU_0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337952010814464,0,0,0,0,0
OTU_0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011411889596603,0,0,0,0,0,0,0,0,0,0.00264550264550265,0,0,0
OTU_0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152963671128107,0,0,0,0,0,0,0,0,0,0,0,0,0.00550964187327824,0
OTU_0020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000796178343949045,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701083492670491,0.00106157112526539,0,0,0,0,0,0,0,0.0398783372761068,0,0.0105820105820106,0,0.0174471992653811,0
OTU_0023,0.0058343057176196,0,0,0,0,0.00198216055500496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238853503184713,0,0,0,0,0,0,0,0,0,0.00158730158730159,0,0,0
OTU_0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502933780385583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0026,0,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0027,0.00466744457409568,0,0,0.00294406280667321,0.00174216027874564,0.0168483647175421,0,0,0,0,0,0,0,0,0,0,0,0.00167644593461861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0028,0,0,0,0,0,0,0,0,0,0,0.00836820083682008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345010615711253,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0029,0.0105017502917153,0,0,0.00392541707556428,0,0.00297324083250743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132696390658174,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0030,0,0,0,0,0,0,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270361608651571,0,0.00317460317460317,0,0.00642791551882461,0
OTU_0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864864864864865,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0033,0.00816802800466744,0,0,0.00294406280667321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019279128248114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0034,0,0,0,0.00196270853778214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251466890192791,0,0,0,0,0,0,0.000530785562632696,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0
OTU_0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594594594594595,0,0,0,0,0,0,0,0,0,0,0,0
OTU_0037,0,0,0,0,0,0,0.0261627906976744,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
