OTU,Permafrost_Russia13.3,Mangrove70.3,Permafrost_Canada45.3,Illinois_soil91.3,Illinois_soil88.3,Iowa_agricultural00.3,Mangrove02.3,Disney_preserve18.3,Permafrost_Canada23.3
OTU_0001,0,0,0.0121654501216545,0,0,0,0,0,0
OTU_0002,0,0.00290697674418605,0,0,0,0,0.00381679389312977,0,0
OTU_0003,0,0,0.0072992700729927,0,0,0,0,0,0.00704225352112676
OTU_0004,0,0,0.0145985401459854,0,0,0,0,0,0.00234741784037559
OTU_0005,0,0,0.0389294403892944,0,0,0,0,0,0
OTU_0006,0,0,0,0,0,0,0,0,0.00234741784037559
OTU_0007,0,0,0,0,0,0,0,0.00401606425702811,0
OTU_0008,0,0,0,0,0,0,0.00381679389312977,0,0
OTU_0009,0,0.00290697674418605,0,0,0,0,0,0,0
OTU_0010,0,0,0.0024330900243309,0,0,0,0,0,0
OTU_0011,0,0,0,0.0357142857142857,0.0357142857142857,0,0,0,0
OTU_0012,0,0,0,0,0,0,0,0,0.00704225352112676
OTU_0013,0,0.00290697674418605,0,0,0,0,0,0,0
OTU_0014,0,0,0,0,0,0,0,0,0.00234741784037559
OTU_0015,0.00241545893719807,0,0,0,0,0,0,0,0
OTU_0016,0,0,0,0,0,0.0167597765363128,0,0,0
OTU_0017,0,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0
OTU_0018,0,0,0,0,0,0,0.00381679389312977,0,0
OTU_0019,0,0.00581395348837209,0,0,0,0,0,0,0
OTU_0020,0,0.00290697674418605,0,0,0,0,0,0,0
OTU_0021,0,0,0.0072992700729927,0,0,0,0,0,0
OTU_0022,0,0,0,0.0178571428571429,0.0178571428571429,0,0,0,0
OTU_0023,0,0,0,0,0,0,0.00381679389312977,0,0
